,params,iou
476,"('image', 2, True, False, 2, False, True, 1)",0.0
479,"('image', 2, True, False, 2, False, False, 2)",0.0
430,"('image', 2, True, True, 2, False, False, 1)",0.0
472,"('image', 2, True, False, 2, True, True, 1)",0.0
474,"('image', 2, True, False, 2, True, False, 1)",0.0
478,"('image', 2, True, False, 2, False, False, 1)",0.0
475,"('image', 2, True, False, 2, True, False, 2)",0.0
426,"('image', 2, True, True, 2, True, False, 1)",0.0
238,"('image', 1, True, True, 2, False, False, 1)",2.6621225257638722e-05
286,"('image', 1, True, False, 2, False, False, 1)",5.4152697039332516e-05
282,"('image', 1, True, False, 2, True, False, 1)",0.00014398299894298553
234,"('image', 1, True, True, 2, True, False, 1)",0.00021731514939977395
278,"('image', 1, True, False, 1.7, False, False, 1)",0.0005624515245619007
230,"('image', 1, True, True, 1.7, False, False, 1)",0.0006919775960933754
274,"('image', 1, True, False, 1.7, True, False, 1)",0.0009759336753077396
226,"('image', 1, True, True, 1.7, True, False, 1)",0.0011007483541515541
431,"('image', 2, True, True, 2, False, False, 2)",0.0014470204087143267
222,"('image', 1, True, True, 1.5, False, False, 1)",0.0015622856581716084
270,"('image', 1, True, False, 1.5, False, False, 1)",0.0016403688274834436
280,"('image', 1, True, False, 2, True, True, 1)",0.0017265373576643226
428,"('image', 2, True, True, 2, False, True, 1)",0.001960975737874379
574,"('image', 2, False, False, 2, False, False, 1)",0.002222813115472231
266,"('image', 1, True, False, 1.5, True, False, 1)",0.0022263970455086097
376,"('image', 1, False, False, 2, True, True, 1)",0.0025340493538320717
218,"('image', 1, True, True, 1.5, True, False, 1)",0.00259059156408084
464,"('image', 2, True, False, 1.7, True, True, 1)",0.002626590465434711
468,"('image', 2, True, False, 1.7, False, True, 1)",0.002651984345292802
424,"('image', 2, True, True, 2, True, True, 1)",0.0027565331506450453
382,"('image', 1, False, False, 2, False, False, 1)",0.0028006071193057073
284,"('image', 1, True, False, 2, False, True, 1)",0.0029209764582253284
287,"('image', 1, True, False, 2, False, False, 2)",0.0030874791532723525
524,"('image', 2, False, True, 2, False, True, 1)",0.0031361911135934077
380,"('image', 1, False, False, 2, False, True, 1)",0.003232241404921667
570,"('image', 2, False, False, 2, True, False, 1)",0.00331886068667564
520,"('image', 2, False, True, 2, True, True, 1)",0.003510997150943415
262,"('image', 1, True, False, 1.3, False, False, 1)",0.003916724445712472
420,"('image', 2, True, True, 1.7, False, True, 1)",0.004005534344338106
214,"('image', 1, True, True, 1.3, False, False, 1)",0.004027083890550609
378,"('image', 1, False, False, 2, True, False, 1)",0.004222939364264036
466,"('image', 2, True, False, 1.7, True, False, 1)",0.0043424170159825385
470,"('image', 2, True, False, 1.7, False, False, 1)",0.0043893295003047846
334,"('image', 1, False, True, 2, False, False, 1)",0.004617182505621134
516,"('image', 2, False, True, 1.7, False, True, 1)",0.0047057136097786835
258,"('image', 1, True, False, 1.3, True, False, 1)",0.004981163229634827
210,"('image', 1, True, True, 1.3, True, False, 1)",0.005365074020445922
512,"('image', 2, False, True, 1.7, True, True, 1)",0.005432449904240384
416,"('image', 2, True, True, 1.7, True, True, 1)",0.005511074171916891
412,"('image', 2, True, True, 1.5, False, True, 1)",0.00588003886314007
508,"('image', 2, False, True, 1.5, False, True, 1)",0.005970701665367266
330,"('image', 1, False, True, 2, True, False, 1)",0.006235526300778142
283,"('image', 1, True, False, 2, True, False, 2)",0.006627051349013014
504,"('image', 2, False, True, 1.5, True, True, 1)",0.0067065534893026866
500,"('image', 2, False, True, 1.3, False, True, 1)",0.00693897380633187
408,"('image', 2, True, True, 1.5, True, True, 1)",0.006992209038161033
374,"('image', 1, False, False, 1.7, False, False, 1)",0.007075266771453288
404,"('image', 2, True, True, 1.3, False, True, 1)",0.007342648767223642
190,"('image', 0, False, False, 2, False, False, 1)",0.007513603029653889
142,"('image', 0, False, True, 2, False, False, 1)",0.007513603029653889
46,"('image', 0, True, True, 2, False, False, 1)",0.007513603029653889
94,"('image', 0, True, False, 2, False, False, 1)",0.007513603029653889
568,"('image', 2, False, False, 2, True, True, 1)",0.0075629077911837875
496,"('image', 2, False, True, 1.3, True, True, 1)",0.007734970419981527
456,"('image', 2, True, False, 1.5, True, True, 1)",0.007888048587426031
492,"('image', 2, False, True, 1, False, True, 1)",0.008345690307877721
400,"('image', 2, True, True, 1.3, True, True, 1)",0.00874215390594865
326,"('image', 1, False, True, 1.7, False, False, 1)",0.008905078076519234
370,"('image', 1, False, False, 1.7, True, False, 1)",0.008979141534521482
488,"('image', 2, False, True, 1, True, True, 1)",0.008985639098649852
42,"('image', 0, True, True, 2, True, False, 1)",0.009336153393793508
90,"('image', 0, True, False, 2, True, False, 1)",0.009336153393793508
138,"('image', 0, False, True, 2, True, False, 1)",0.009336153393793508
186,"('image', 0, False, False, 2, True, False, 1)",0.009336153393793508
396,"('image', 2, True, True, 1, False, True, 1)",0.00966231727810927
460,"('image', 2, True, False, 1.5, False, True, 1)",0.009755883900454121
572,"('image', 2, False, False, 2, False, True, 1)",0.009905533570752908
484,"('image', 2, False, True, 0.5, False, True, 1)",0.010181905831464078
448,"('image', 2, True, False, 1.3, True, True, 1)",0.010636563217082647
566,"('image', 2, False, False, 1.7, False, False, 1)",0.010682358754729313
392,"('image', 2, True, True, 1, True, True, 1)",0.010718569526336793
480,"('image', 2, False, True, 0.5, True, True, 1)",0.010815434273515712
522,"('image', 2, False, True, 2, True, False, 1)",0.010879493964316709
