,params,iou
476,"('image', 2, True, False, 2, False, True, 1)",0.0
430,"('image', 2, True, True, 2, False, False, 1)",0.0
472,"('image', 2, True, False, 2, True, True, 1)",0.0
428,"('image', 2, True, True, 2, False, True, 1)",0.0
474,"('image', 2, True, False, 2, True, False, 1)",0.0
426,"('image', 2, True, True, 2, True, False, 1)",0.0
424,"('image', 2, True, True, 2, True, True, 1)",0.0
422,"('image', 2, True, True, 1.7, False, False, 1)",0.0
478,"('image', 2, True, False, 2, False, False, 1)",0.0
418,"('image', 2, True, True, 1.7, True, False, 1)",0.0
410,"('image', 2, True, True, 1.5, True, False, 1)",6.86348251538552e-05
414,"('image', 2, True, True, 1.5, False, False, 1)",0.00018030659689525006
280,"('image', 1, True, False, 2, True, True, 1)",0.0014152245191616987
286,"('image', 1, True, False, 2, False, False, 1)",0.002123571785061699
574,"('image', 2, False, False, 2, False, False, 1)",0.0022289286052889832
284,"('image', 1, True, False, 2, False, True, 1)",0.0024381973546183243
376,"('image', 1, False, False, 2, True, True, 1)",0.0025103342989427615
464,"('image', 2, True, False, 1.7, True, True, 1)",0.0025988330871749826
468,"('image', 2, True, False, 1.7, False, True, 1)",0.0025988330871749826
382,"('image', 1, False, False, 2, False, False, 1)",0.0027973948574000636
402,"('image', 2, True, True, 1.3, True, False, 1)",0.003225158468098188
380,"('image', 1, False, False, 2, False, True, 1)",0.003229096130789659
570,"('image', 2, False, False, 2, True, False, 1)",0.003310054363443637
282,"('image', 1, True, False, 2, True, False, 1)",0.003385897627218867
466,"('image', 2, True, False, 1.7, True, False, 1)",0.004246801624392518
378,"('image', 1, False, False, 2, True, False, 1)",0.004255624134098925
470,"('image', 2, True, False, 1.7, False, False, 1)",0.004311555103453518
334,"('image', 1, False, True, 2, False, False, 1)",0.004626956360096427
238,"('image', 1, True, True, 2, False, False, 1)",0.004764911392547547
330,"('image', 1, False, True, 2, True, False, 1)",0.006356779827042271
234,"('image', 1, True, True, 2, True, False, 1)",0.006517926412987327
278,"('image', 1, True, False, 1.7, False, False, 1)",0.006680032973102312
374,"('image', 1, False, False, 1.7, False, False, 1)",0.007047360847494869
568,"('image', 2, False, False, 2, True, True, 1)",0.007415600069106621
456,"('image', 2, True, False, 1.5, True, True, 1)",0.007425782756163235
94,"('image', 0, True, False, 2, False, False, 1)",0.007513603549494228
190,"('image', 0, False, False, 2, False, False, 1)",0.007513603549494228
46,"('image', 0, True, True, 2, False, False, 1)",0.007513603549494228
142,"('image', 0, False, True, 2, False, False, 1)",0.007513603549494228
406,"('image', 2, True, True, 1.3, False, False, 1)",0.007641814781508321
274,"('image', 1, True, False, 1.7, True, False, 1)",0.008170024060676361
370,"('image', 1, False, False, 1.7, True, False, 1)",0.008914989486452666
326,"('image', 1, False, True, 1.7, False, False, 1)",0.009111696265101835
230,"('image', 1, True, True, 1.7, False, False, 1)",0.009240702727405039
138,"('image', 0, False, True, 2, True, False, 1)",0.009336153393793508
90,"('image', 0, True, False, 2, True, False, 1)",0.009336153393793508
186,"('image', 0, False, False, 2, True, False, 1)",0.009336153393793508
42,"('image', 0, True, True, 2, True, False, 1)",0.009336153393793508
572,"('image', 2, False, False, 2, False, True, 1)",0.00962526116121251
460,"('image', 2, True, False, 1.5, False, True, 1)",0.009755883900454121
270,"('image', 1, True, False, 1.5, False, False, 1)",0.010114354355013521
566,"('image', 2, False, False, 1.7, False, False, 1)",0.010469278696536872
448,"('image', 2, True, False, 1.3, True, True, 1)",0.010613911108030128
520,"('image', 2, False, True, 2, True, True, 1)",0.010710346997206292
366,"('image', 1, False, False, 1.5, False, False, 1)",0.011039837168173361
322,"('image', 1, False, True, 1.7, True, False, 1)",0.01143553280399226
562,"('image', 2, False, False, 1.7, True, False, 1)",0.011481661281810194
226,"('image', 1, True, True, 1.7, True, False, 1)",0.011814767656555973
38,"('image', 0, True, True, 1.7, False, False, 1)",0.011862464698048114
86,"('image', 0, True, False, 1.7, False, False, 1)",0.011862464698048114
134,"('image', 0, False, True, 1.7, False, False, 1)",0.011862464698048114
182,"('image', 0, False, False, 1.7, False, False, 1)",0.011862464698048114
